Código Región;Nombre Región;Código Provincia;Nombre Provincia;Código Comuna 2018;Nombre Comuna;Poblacion;Unidades Policiales;Promedio Tasa_c100mil_casos-policiales 2022;Score
01;Tarapacá;056;San Antonio;05602;Algarrobo;13817;1;66,17577899;318
01;Tarapacá;135;Melipilla;13502;Alhué;6444;1;26,49125101;184
01;Tarapacá;083;Biobío;08314;Alto Biobío;5923;3;27,11769856;847
01;Tarapacá;033;Huasco;03302;Alto del Carmen;5299;4;25,09742364;43
01;Tarapacá;011;Iquique;01107;Alto Hospicio;108375;1;28,79604539;680
01;Tarapacá;102;Chiloé;10202;Ancud;38991;3;32,75002384;674
01;Tarapacá;041;Elqui;04103;Andacollo;11044;1;25,1410569;741
02;Antofagasta;092;Malleco;09201;Angol;53262;1;18,49877545;195
02;Antofagasta;122;Antártica Chilena;12202;Antártica;138;0;0;77
02;Antofagasta;021;Antofagasta;02101;Antofagasta;361873;4;26,33484047;198
02;Antofagasta;083;Biobío;08302;Antuco;4073;3;22,55464931;47
02;Antofagasta;082;Arauco;08202;Arauco;36257;3;28,66451807;157
02;Antofagasta;151;Arica;15101;Arica;221364;7;31,50097466;403
02;Antofagasta;112;Aysén;11201;Aysén;23959;4;30,14936498;596
02;Antofagasta;134;Maipo;13402;Buin;96614;5;21,71673439;358
02;Antofagasta;161;Diguillín;16102;Bulnes;21493;2;20,9803017;575
03;Atacama;054;Petorca;05402;Cabildo;19388;2;19,92562791;584
03;Atacama;122;Antártica Chilena;12201;Cabo de Hornos;2063;3;23,94763451;555
03;Atacama;083;Biobío;08303;Cabrero;28573;3;28,83619172;42
03;Atacama;022;El Loa;02201;Calama;165731;3;24,29045761;227
03;Atacama;101;Llanquihue;10102;Calbuco;33985;4;36,41125058;56
03;Atacama;031;Copiapó;03102;Caldera;17662;1;51,97588319;246
03;Atacama;134;Maipo;13403;Calera de Tango;25392;1;19,46671905;846
03;Atacama;053;Los Andes;05302;Calle Larga;14832;1;18,62438162;708
03;Atacama;151;Arica;15102;Camarones;1255;2;16,95058903;596
04;Coquimbo;014;Tamarugal;01402;Camiña;1250;1;15,22243787;295
04;Coquimbo;042;Choapa;04202;Canela;9093;2;17,10788453;709
04;Coquimbo;082;Arauco;08203;Cañete;34537;1;20,69995521;846
04;Coquimbo;091;Cautín;09102;Carahue;24533;3;11,86278778;482
04;Coquimbo;056;San Antonio;05603;Cartagena;22738;1;86,55585912;184
04;Coquimbo;051;Valparaíso;05102;Casablanca;26867;2;29,14096656;929
04;Coquimbo;102;Chiloé;10201;Castro;43807;1;32,03585396;781
04;Coquimbo;057;San Felipe de Aconcagua;05702;Catemu;13998;3;21,75701494;427
04;Coquimbo;072;Cauquenes;07201;Cauquenes;40441;6;19,0569369;722
04;Coquimbo;131;Santiago;13102;Cerrillos;80832;2;29,90097827;553
04;Coquimbo;131;Santiago;13103;Cerro Navia;132622;1;15,86307986;923
04;Coquimbo;104;Palena;10401;Chaitén;5071;3;17,71756123;583
04;Coquimbo;072;Cauquenes;07202;Chanco;8928;1;26,03562352;23
04;Coquimbo;032;Chañaral;03201;Chañaral;12219;1;34,52830719;929
04;Coquimbo;063;Colchagua;06302;Chépica;15037;1;20,31854231;495
05;Valparaíso;081;Concepción;08103;Chiguayante;85938;1;12,86610975;192
05;Valparaíso;114;General Carrera;11401;Chile Chico;4865;2;68,49875271;810
05;Valparaíso;161;Diguillín;16101;Chillán;184739;4;22,91758783;135
05;Valparaíso;161;Diguillín;16103;Chillán Viejo;30907;2;24,22975869;602
05;Valparaíso;063;Colchagua;06303;Chimbarongo;35399;2;30,7225813;27
05;Valparaíso;091;Cautín;09121;Cholchol;11611;1;24,20278143;783
05;Valparaíso;102;Chiloé;10203;Chonchi;14858;1;25,41171871;224
05;Valparaíso;112;Aysén;11202;Cisnes;6517;4;53,91659103;611
05;Valparaíso;162;Itata;16202;Cobquecura;5012;1;23,54992584;325
05;Valparaíso;101;Llanquihue;10103;Cochamó;4023;6;31,10769882;492
05;Valparaíso;113;Capitán Prat;11301;Cochrane;3490;2;31,14294612;21
05;Valparaíso;061;Cachapoal;06102;Codegua;12988;1;18,66757442;273
05;Valparaíso;162;Itata;16203;Coelemu;15995;3;10,75449819;479
05;Valparaíso;163;Punilla;16302;Coihueco;26881;3;19,13575952;466
05;Valparaíso;061;Cachapoal;06103;Coinco;7359;2;17,89964267;956
05;Valparaíso;074;Linares;07402;Colbún;20765;3;17,81643589;44
05;Valparaíso;014;Tamarugal;01403;Colchane;1728;1;63,33122229;627
05;Valparaíso;133;Chacabuco;13301;Colina;146207;2;14,82505465;766
05;Valparaíso;092;Malleco;09202;Collipulli;24598;4;28,93599358;451
05;Valparaíso;061;Cachapoal;06104;Coltauco;19597;2;18,29083641;704
05;Valparaíso;043;Limarí;04302;Combarbalá;13322;2;21,60916228;768
